,Education,Company,Cooperation
2012,5.418969767441861,4.995333333333334,4.3941739130434785
2013,8.021474953617814,7.886736842105264,4.742857142857143
2014,8.768451282051283,8.184285714285714,4.1296
2015,12.265349143610015,59.614827586206964,8.6553
2016,13.52727952755906,223.26640000000052,14.86639393939393
2017,13.778056745182,5.425263157894737,12.098885245901656
2018,13.448710843373497,7.85395238095238,9.872724137931042
2019,14.5273557168784,14.581739130434787,9.422601503759395
2020,15.103893048128342,7.5834210526315795,24.999479166666674
2021,10.482354430379747,5.1850000000000005,20.84607017543859
